SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-23 10:15:01.368195,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
1,DC:A6:32:33:B0:BC,2020-07-23 10:15:02.386989,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
2,DC:A6:32:33:B0:BC,2020-07-23 10:15:03.542017,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
3,DC:A6:32:33:B0:BC,2020-07-23 10:15:04.092016,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
4,DC:A6:32:33:B0:BC,2020-07-23 10:15:06.097197,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
5,DC:A6:32:33:B0:BC,2020-07-23 10:15:07.822182,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
6,DC:A6:32:33:B0:BC,2020-07-23 10:15:08.044716,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
7,DC:A6:32:33:B0:BC,2020-07-23 10:15:10.049805,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
8,DC:A6:32:33:B0:BC,2020-07-23 10:15:12.054832,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
9,DC:A6:32:33:B0:BC,2020-07-23 10:15:13.053684,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
10,DC:A6:32:33:B0:BC,2020-07-23 10:15:15.058751,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
11,DC:A6:32:33:B0:BC,2020-07-23 10:15:16.043739,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
12,DC:A6:32:33:B0:BC,2020-07-23 10:15:17.093809,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
13,DC:A6:32:33:B0:BC,2020-07-23 10:15:19.098270,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
14,DC:A6:32:33:B0:BC,2020-07-23 10:15:20.405208,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
15,DC:A6:32:33:B0:BC,2020-07-23 10:15:22.410307,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
16,DC:A6:32:33:B0:BC,2020-07-23 10:15:24.415391,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
17,DC:A6:32:33:B0:BC,2020-07-23 10:15:25.274124,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
18,DC:A6:32:33:B0:BC,2020-07-23 10:15:27.279260,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
19,DC:A6:32:33:B0:BC,2020-07-23 10:15:28.085515,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
20,DC:A6:32:33:B0:BC,2020-07-23 10:15:29.035539,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
21,DC:A6:32:33:B0:BC,2020-07-23 10:15:30.163084,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
22,DC:A6:32:33:B0:BC,2020-07-23 10:15:31.624394,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
23,DC:A6:32:33:B0:BC,2020-07-23 10:15:32.568171,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
24,DC:A6:32:33:B0:BC,2020-07-23 10:15:34.506875,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
25,DC:A6:32:33:B0:BC,2020-07-23 10:15:35.014521,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
26,DC:A6:32:33:B0:BC,2020-07-23 10:15:36.858951,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
27,DC:A6:32:33:B0:BC,2020-07-23 10:15:37.123354,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
28,DC:A6:32:33:B0:BC,2020-07-23 10:15:39.094693,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
29,DC:A6:32:33:B0:BC,2020-07-23 10:15:41.099791,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
30,DC:A6:32:33:B0:BC,2020-07-23 10:15:42.098558,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
31,DC:A6:32:33:B0:BC,2020-07-23 10:15:43.321934,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
32,DC:A6:32:33:B0:BC,2020-07-23 10:15:44.814920,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
33,DC:A6:32:33:B0:BC,2020-07-23 10:15:45.067324,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
34,DC:A6:32:33:B0:BC,2020-07-23 10:15:46.434987,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
35,DC:A6:32:33:B0:BC,2020-07-23 10:15:48.440083,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
36,DC:A6:32:33:B0:BC,2020-07-23 10:15:49.171395,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
37,DC:A6:32:33:B0:BC,2020-07-23 10:15:51.045991,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
38,DC:A6:32:33:B0:BC,2020-07-23 10:15:52.698966,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
39,DC:A6:32:33:B0:BC,2020-07-23 10:15:53.403365,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
40,DC:A6:32:33:B0:BC,2020-07-23 10:15:54.039113,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
