SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-23 10:18:27.022080,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
1,DC:A6:32:33:B0:BC,2020-07-23 10:18:28.740028,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
2,DC:A6:32:33:B0:BC,2020-07-23 10:18:30.652591,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-60
3,DC:A6:32:33:B0:BC,2020-07-23 10:18:31.123716,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
4,DC:A6:32:33:B0:BC,2020-07-23 10:18:32.291418,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
5,DC:A6:32:33:B0:BC,2020-07-23 10:18:33.572657,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
6,DC:A6:32:33:B0:BC,2020-07-23 10:18:35.481525,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
7,DC:A6:32:33:B0:BC,2020-07-23 10:18:37.486006,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
8,DC:A6:32:33:B0:BC,2020-07-23 10:18:39.491643,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
9,DC:A6:32:33:B0:BC,2020-07-23 10:18:40.461722,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
10,DC:A6:32:33:B0:BC,2020-07-23 10:18:41.011717,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
11,DC:A6:32:33:B0:BC,2020-07-23 10:18:42.011495,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-58
12,DC:A6:32:33:B0:BC,2020-07-23 10:18:43.648712,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
13,DC:A6:32:33:B0:BC,2020-07-23 10:18:44.044914,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
14,DC:A6:32:33:B0:BC,2020-07-23 10:18:46.050757,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
15,DC:A6:32:33:B0:BC,2020-07-23 10:18:47.239641,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-50
16,DC:A6:32:33:B0:BC,2020-07-23 10:18:48.706406,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-58
17,DC:A6:32:33:B0:BC,2020-07-23 10:18:49.195751,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
18,DC:A6:32:33:B0:BC,2020-07-23 10:18:51.200976,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
19,DC:A6:32:33:B0:BC,2020-07-23 10:18:53.205994,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-51
20,DC:A6:32:33:B0:BC,2020-07-23 10:18:54.494117,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
