SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-23 10:24:41.696168,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
1,DC:A6:32:33:B0:BC,2020-07-23 10:24:42.219516,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-64
2,DC:A6:32:33:B0:BC,2020-07-23 10:24:44.224662,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
3,DC:A6:32:33:B0:BC,2020-07-23 10:24:46.229345,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
4,DC:A6:32:33:B0:BC,2020-07-23 10:24:48.235253,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
5,DC:A6:32:33:B0:BC,2020-07-23 10:24:49.832535,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
6,DC:A6:32:33:B0:BC,2020-07-23 10:24:50.016022,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
7,DC:A6:32:33:B0:BC,2020-07-23 10:24:51.468556,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-60
8,DC:A6:32:33:B0:BC,2020-07-23 10:24:52.568383,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
9,DC:A6:32:33:B0:BC,2020-07-23 10:24:53.103308,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
10,DC:A6:32:33:B0:BC,2020-07-23 10:24:55.107581,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
11,DC:A6:32:33:B0:BC,2020-07-23 10:24:56.420598,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
12,DC:A6:32:33:B0:BC,2020-07-23 10:24:58.425060,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
13,DC:A6:32:33:B0:BC,2020-07-23 10:24:59.081273,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
14,DC:A6:32:33:B0:BC,2020-07-23 10:25:01.085831,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-61
15,DC:A6:32:33:B0:BC,2020-07-23 10:25:03.090738,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
16,DC:A6:32:33:B0:BC,2020-07-23 10:25:05.095445,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
17,DC:A6:32:33:B0:BC,2020-07-23 10:25:06.051549,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
18,DC:A6:32:33:B0:BC,2020-07-23 10:25:07.037685,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
19,DC:A6:32:33:B0:BC,2020-07-23 10:25:08.307506,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
20,DC:A6:32:33:B0:BC,2020-07-23 10:25:09.076128,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
21,DC:A6:32:33:B0:BC,2020-07-23 10:25:10.177238,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
22,DC:A6:32:33:B0:BC,2020-07-23 10:25:11.819237,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-62
23,DC:A6:32:33:B0:BC,2020-07-23 10:25:12.089341,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
24,DC:A6:32:33:B0:BC,2020-07-23 10:25:13.756814,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-61
25,DC:A6:32:33:B0:BC,2020-07-23 10:25:14.033624,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
26,DC:A6:32:33:B0:BC,2020-07-23 10:25:16.039064,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
27,DC:A6:32:33:B0:BC,2020-07-23 10:25:17.284675,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
28,DC:A6:32:33:B0:BC,2020-07-23 10:25:18.688696,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-63
29,DC:A6:32:33:B0:BC,2020-07-23 10:25:19.117381,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
30,DC:A6:32:33:B0:BC,2020-07-23 10:25:21.115955,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
31,DC:A6:32:33:B0:BC,2020-07-23 10:25:23.091328,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
32,DC:A6:32:33:B0:BC,2020-07-23 10:25:25.096798,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
33,DC:A6:32:33:B0:BC,2020-07-23 10:25:26.921487,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
