SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-23 10:27:37.758167,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
1,DC:A6:32:33:B0:BC,2020-07-23 10:27:39.045473,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-47
2,DC:A6:32:33:B0:BC,2020-07-23 10:27:40.086884,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
3,DC:A6:32:33:B0:BC,2020-07-23 10:27:42.091241,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
4,DC:A6:32:33:B0:BC,2020-07-23 10:27:43.108116,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
5,DC:A6:32:33:B0:BC,2020-07-23 10:27:45.114331,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
6,DC:A6:32:33:B0:BC,2020-07-23 10:27:46.519222,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
7,DC:A6:32:33:B0:BC,2020-07-23 10:27:48.524210,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
8,DC:A6:32:33:B0:BC,2020-07-23 10:27:50.530411,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
9,DC:A6:32:33:B0:BC,2020-07-23 10:27:51.125361,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-39
10,DC:A6:32:33:B0:BC,2020-07-23 10:27:53.130181,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
11,DC:A6:32:33:B0:BC,2020-07-23 10:27:54.679010,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
12,DC:A6:32:33:B0:BC,2020-07-23 10:27:56.305238,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
13,DC:A6:32:33:B0:BC,2020-07-23 10:27:57.156313,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-57
14,DC:A6:32:33:B0:BC,2020-07-23 10:27:58.530166,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
15,DC:A6:32:33:B0:BC,2020-07-23 10:28:00.105129,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
16,DC:A6:32:33:B0:BC,2020-07-23 10:28:01.466468,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
17,DC:A6:32:33:B0:BC,2020-07-23 10:28:02.107555,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-49
18,DC:A6:32:33:B0:BC,2020-07-23 10:28:03.920008,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-48
19,DC:A6:32:33:B0:BC,2020-07-23 10:28:04.181704,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
20,DC:A6:32:33:B0:BC,2020-07-23 10:28:05.649964,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
