SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-11 10:41:53.991259,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
1,DC:A6:32:33:B0:BC,2020-07-11 10:41:54.069320,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
2,DC:A6:32:33:B0:BC,2020-07-11 10:41:55.389739,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
3,DC:A6:32:33:B0:BC,2020-07-11 10:41:56.314701,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
4,DC:A6:32:33:B0:BC,2020-07-11 10:41:57.043294,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
5,DC:A6:32:33:B0:BC,2020-07-11 10:41:58.219859,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
6,DC:A6:32:33:B0:BC,2020-07-11 10:41:59.419945,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
7,DC:A6:32:33:B0:BC,2020-07-11 10:42:00.339994,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-60
8,DC:A6:32:33:B0:BC,2020-07-11 10:42:01.706214,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
9,DC:A6:32:33:B0:BC,2020-07-11 10:42:02.336203,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
10,DC:A6:32:33:B0:BC,2020-07-11 10:42:03.611813,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
11,DC:A6:32:33:B0:BC,2020-07-11 10:42:04.438727,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
12,DC:A6:32:33:B0:BC,2020-07-11 10:42:05.036191,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
13,DC:A6:32:33:B0:BC,2020-07-11 10:42:07.041257,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
14,DC:A6:32:33:B0:BC,2020-07-11 10:42:08.019964,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
15,DC:A6:32:33:B0:BC,2020-07-11 10:42:10.067545,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
16,DC:A6:32:33:B0:BC,2020-07-11 10:42:11.081271,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
17,DC:A6:32:33:B0:BC,2020-07-11 10:42:13.086422,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
18,DC:A6:32:33:B0:BC,2020-07-11 10:42:15.091368,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-59
19,DC:A6:32:33:B0:BC,2020-07-11 10:42:17.096422,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
20,DC:A6:32:33:B0:BC,2020-07-11 10:42:18.630698,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
21,DC:A6:32:33:B0:BC,2020-07-11 10:42:19.169745,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
22,DC:A6:32:33:B0:BC,2020-07-11 10:42:20.147639,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-59
23,DC:A6:32:33:B0:BC,2020-07-11 10:42:22.152663,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
24,DC:A6:32:33:B0:BC,2020-07-11 10:42:23.047516,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
25,DC:A6:32:33:B0:BC,2020-07-11 10:42:24.068163,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
26,DC:A6:32:33:B0:BC,2020-07-11 10:42:25.118983,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
27,DC:A6:32:33:B0:BC,2020-07-11 10:42:26.215056,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
28,DC:A6:32:33:B0:BC,2020-07-11 10:42:28.220073,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
29,DC:A6:32:33:B0:BC,2020-07-11 10:42:29.295844,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
30,DC:A6:32:33:B0:BC,2020-07-11 10:42:30.360043,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
31,DC:A6:32:33:B0:BC,2020-07-11 10:42:32.365097,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
32,DC:A6:32:33:B0:BC,2020-07-11 10:42:33.037448,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
33,DC:A6:32:33:B0:BC,2020-07-11 10:42:35.042596,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
34,DC:A6:32:33:B0:BC,2020-07-11 10:42:37.047659,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
35,DC:A6:32:33:B0:BC,2020-07-11 10:42:39.052754,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
36,DC:A6:32:33:B0:BC,2020-07-11 10:42:40.360777,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
37,DC:A6:32:33:B0:BC,2020-07-11 10:42:42.328951,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
38,DC:A6:32:33:B0:BC,2020-07-11 10:42:43.125143,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
39,DC:A6:32:33:B0:BC,2020-07-11 10:42:45.130439,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
40,DC:A6:32:33:B0:BC,2020-07-11 10:42:46.147867,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
41,DC:A6:32:33:B0:BC,2020-07-11 10:42:47.432501,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
42,DC:A6:32:33:B0:BC,2020-07-11 10:42:48.005213,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
43,DC:A6:32:33:B0:BC,2020-07-11 10:42:49.065495,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
44,DC:A6:32:33:B0:BC,2020-07-11 10:42:50.160298,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
45,DC:A6:32:33:B0:BC,2020-07-11 10:42:52.165328,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
46,DC:A6:32:33:B0:BC,2020-07-11 10:42:53.206462,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
47,DC:A6:32:33:B0:BC,2020-07-11 10:42:54.030833,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
48,DC:A6:32:33:B0:BC,2020-07-11 10:42:55.374657,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
49,DC:A6:32:33:B0:BC,2020-07-11 10:42:56.165920,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
50,DC:A6:32:33:B0:BC,2020-07-11 10:42:58.167854,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
51,DC:A6:32:33:B0:BC,2020-07-11 10:42:59.342886,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
52,DC:A6:32:33:B0:BC,2020-07-11 10:43:00.107859,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
53,DC:A6:32:33:B0:BC,2020-07-11 10:43:01.178958,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
54,DC:A6:32:33:B0:BC,2020-07-11 10:43:03.130401,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
55,DC:A6:32:33:B0:BC,2020-07-11 10:43:04.446572,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
56,DC:A6:32:33:B0:BC,2020-07-11 10:43:05.134021,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
57,DC:A6:32:33:B0:BC,2020-07-11 10:43:06.626737,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
58,DC:A6:32:33:B0:BC,2020-07-11 10:43:07.017857,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
59,DC:A6:32:33:B0:BC,2020-07-11 10:43:09.022943,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
60,DC:A6:32:33:B0:BC,2020-07-11 10:43:11.027999,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
61,DC:A6:32:33:B0:BC,2020-07-11 10:43:13.033005,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
62,DC:A6:32:33:B0:BC,2020-07-11 10:43:14.516845,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
63,DC:A6:32:33:B0:BC,2020-07-11 10:43:15.009207,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
64,DC:A6:32:33:B0:BC,2020-07-11 10:43:16.174387,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
65,DC:A6:32:33:B0:BC,2020-07-11 10:43:17.245582,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
66,DC:A6:32:33:B0:BC,2020-07-11 10:43:18.344273,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
67,DC:A6:32:33:B0:BC,2020-07-11 10:43:19.199634,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
68,DC:A6:32:33:B0:BC,2020-07-11 10:43:20.093113,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
69,DC:A6:32:33:B0:BC,2020-07-11 10:43:21.676989,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
70,DC:A6:32:33:B0:BC,2020-07-11 10:43:22.144354,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
71,DC:A6:32:33:B0:BC,2020-07-11 10:43:24.071333,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
72,DC:A6:32:33:B0:BC,2020-07-11 10:43:26.076967,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
73,DC:A6:32:33:B0:BC,2020-07-11 10:43:27.435642,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
74,DC:A6:32:33:B0:BC,2020-07-11 10:43:28.116313,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
75,DC:A6:32:33:B0:BC,2020-07-11 10:43:30.121953,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
76,DC:A6:32:33:B0:BC,2020-07-11 10:43:31.290020,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
77,DC:A6:32:33:B0:BC,2020-07-11 10:43:32.158205,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
78,DC:A6:32:33:B0:BC,2020-07-11 10:43:33.140710,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
79,DC:A6:32:33:B0:BC,2020-07-11 10:43:34.158292,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
80,DC:A6:32:33:B0:BC,2020-07-11 10:43:35.430817,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
