5cm,10cm,15cm,20cm,"Averages(5,10,15,20)",,,,,,70cm,80cm,90cm,Averages
-28,-31,-43,-34,-23.94117647,,,,,,-48,-57,-55,-56.32978723
-17,-28,-43,-31,-29.76470588,,,,,,-49,-54,-56,-55
-31,-31,-40,-35,-41.55555556,,,,,,-69,-54,-54,-54.94680851
-31,-28,-38,-31,-31.94444444,,,,,,-50,-55,-56,
-17,-31,-44,-31,,,,,,,-49,-56,-55,
-17,-25,-40,-34,,,,,,,-49,-51,-53,
-16,-22,-43,-31,,,,,,,-82,-52,-56,
-28,-31,-44,-28,,,,,,,-82,-55,-60,
-28,-32,-42,-31,,,,,,,-49,-50,-58,
-16,-28,-43,-31,,,,,,,-49,-53,-58,
-16,-29,-44,-34,,,,,,,-49,-53,-56,
-28,-31,-43,-31,,,,,,,-49,-54,-54,
-28,-31,-42,-31,,,,,,,-68,-51,-58,
-28,-34,-43,-34,,,,,,,-47,-55,-55,
-28,-32,-37,-31,,,,,,,-49,-51,-54,
-22,-31,-37,-31,,,,,,,-47,-51,-58,
-28,-31,-43,-31,,,,,,,-49,-53,-56,
-31,-38,-39,-35,,,,,,,-49,-54,-56,
-28,-39,-43,-42,,,,,,,-50,-54,-59,
-31,-44,-41,-43,,,,,,,-49,-57,-55,
-31,-45,-40,-40,,,,,,,-73,-56,-54,
-31,-35,-40,-43,,,,,,,-49,-53,-54,
-31,-42,-39,-43,,,,,,,-49,-53,-59,
-34,-45,-42,-40,,,,,,,-48,-56,-58,
-31,-45,-39,-43,,,,,,,-49,-52,-58,
-31,-36,-40,-42,,,,,,,-76,-56,-54,
-31,-46,-39,-40,,,,,,,-49,-55,-54,
-35,-36,-40,-37,,,,,,,-63,-56,-58,
-31,-36,-39,-43,,,,,,,-49,-57,-56,
-28,-36,-34,-43,,,,,,,-76,-56,-54,
-29,-37,-39,-42,,,,,,,-47,-56,-58,
-31,-46,-39,-42,,,,,,,-47,-55,-55,
-31,-46,-39,-43,,,,,,,-49,-53,-55,
-25,-37,-39,-42,,,,,,,-49,-55,-58,
-31,-36,-39,-42,,,,,,,-49,-55,-54,
-31,-39,-40,-42,,,,,,,-49,-56,-54,
-31,-45,-42,-43,,,,,,,-47,-56,-58,
-31,-47,-40,-43,,,,,,,-47,-53,-55,
-27,-36,-40,-42,,,,,,,-47,-56,-54,
-31,-45,-40,-42,,,,,,,-83,-53,-53,
-25,-45,-42,-43,,,,,,,-47,-58,-54,
-31,-32,-40,-43,,,,,,,-81,-55,-55,
-31,-45,-40,-40,,,,,,,-45,-58,-55,
-32,-37,-40,-40,,,,,,,-82,-52,-54,
-28,-46,-39,-43,,,,,,,-49,-56,-53,
-24,-37,-40,-40,,,,,,,-48,-57,-54,
-32,-36,-34,-43,,,,,,,-47,-55,-53,
-27,-36,-39,-42,,,,,,,-48,-55,-55,
-31,-37,-40,-42,,,,,,,-49,-55,-54,
-32,-46,-40,-38,,,,,,,-49,-57,-54,
-29,-37,-40,-44,,,,,,,-48,-59,-55,
-24,-36,-35,-43,,,,,,,-48,-59,-55,
-29,-38,-40,-40,,,,,,,-48,-56,-57,
-29,-37,-42,-37,,,,,,,-49,-57,-57,
-29,-37,-42,-37,,,,,,,-47,-56,-55,
-34,-44,-39,-42,,,,,,,-47,-55,-55,
-28,-44,-39,-38,,,,,,,-47,-53,-53,
-27,-46,-42,-43,,,,,,,-73,-58,-55,
-31,-37,-40,-42,,,,,,,-74,-53,-55,
-31,-46,-34,-40,,,,,,,-47,-56,-54,
-32,-37,-34,-43,,,,,,,-48,-53,-55,
-27,-37,-39,-43,,,,,,,-47,-53,-55,
-29,-37,-39,-42,,,,,,,-75,-55,-54,
-27,-37,-40,-43,,,,,,,-77,-57,-54,
-32,-36,-39,-42,,,,,,,-49,-53,-54,
-32,-44,-43,-42,,,,,,,-47,-57,-53,
-31,-36,-40,-43,,,,,,,-49,-55,-54,
-32,-36,-39,-43,,,,,,,-48,-56,-55,
-31,-37,-43,-43,,,,,,,-77,-53,-55,
-32,-37,-40,-43,,,,,,,-49,-56,-55,
-31,-39,-39,-43,,,,,,,-81,-57,-55,
-31,-47,-43,-38,,,,,,,-49,-53,-55,
-32,-42,-43,-40,,,,,,,-49,-57,-55,
-29,-39,-43,-40,,,,,,,-47,-56,-55,
-31,-34,-40,-44,,,,,,,-49,-52,-55,
-26,-46,-40,-41,,,,,,,-84,-56,-54,
-31,-36,-39,-44,,,,,,,-47,-53,-53,
-29,-37,-40,-44,,,,,,,-81,-57,-54,
-32,-37,-40,-44,,,,,,,-77,-53,-55,
-27,-36,-40,-44,,,,,,,-49,-58,-55,
-26,-37,-41,-43,,,,,,,-77,-57,-55,
-31,-44,-43,-44,,,,,,,-47,-53,-54,
-26,-39,-40,-44,,,,,,,-77,-57,-54,
-31,-38,-40,-44,,,,,,,-49,-57,-54,
-24,-45,-43,-43,,,,,,,-77,-57,-54,
-29,-37,-39,-44,,,,,,,-79,-58,-53,
-31,-37,-43,-43,,,,,,,-48,-58,-53,
-29,-37,-39,-43,,,,,,,-46,-53,-53,
-31,-36,-39,-43,,,,,,,-47,-57,-53,
-31,-37,-39,-44,,,,,,,-78,-57,-53,
-31,-36,-42,-43,,,,,,,-72,-53,-53,
-31,-37,-34,-41,,,,,,,-49,-53,-53,
-31,-46,-39,-43,,,,,,,-73,-57,-53,
-31,-37,-39,-43,,,,,,,-47,-55,-53,
-34,-44,-40,-41,,,,,,,,,,
-31,-45,-42,-44,,,,,,,,,,
