SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-07 09:59:35.078543,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-33
1,DC:A6:32:33:B0:BC,2020-07-07 09:59:37.083394,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-27
2,DC:A6:32:33:B0:BC,2020-07-07 09:59:39.012159,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
3,DC:A6:32:33:B0:BC,2020-07-07 09:59:41.018513,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-33
4,DC:A6:32:33:B0:BC,2020-07-07 09:59:42.033515,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
5,DC:A6:32:33:B0:BC,2020-07-07 09:59:43.917318,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
6,DC:A6:32:33:B0:BC,2020-07-07 09:59:44.023327,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-35
7,DC:A6:32:33:B0:BC,2020-07-07 09:59:46.028561,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
8,DC:A6:32:33:B0:BC,2020-07-07 09:59:48.033628,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
9,DC:A6:32:33:B0:BC,2020-07-07 09:59:49.133606,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-29
10,DC:A6:32:33:B0:BC,2020-07-07 09:59:50.503359,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
11,DC:A6:32:33:B0:BC,2020-07-07 09:59:51.334901,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
12,DC:A6:32:33:B0:BC,2020-07-07 09:59:52.164959,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
13,DC:A6:32:33:B0:BC,2020-07-07 09:59:54.076217,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
