SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-07 09:50:22.241427,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
1,DC:A6:32:33:B0:BC,2020-07-07 09:50:24.246558,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-17
2,DC:A6:32:33:B0:BC,2020-07-07 09:50:25.010296,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-31
3,DC:A6:32:33:B0:BC,2020-07-07 09:50:26.367859,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-31
4,DC:A6:32:33:B0:BC,2020-07-07 09:50:27.018480,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-17
5,DC:A6:32:33:B0:BC,2020-07-07 09:50:28.391033,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-17
6,DC:A6:32:33:B0:BC,2020-07-07 09:50:29.304175,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-16
7,DC:A6:32:33:B0:BC,2020-07-07 09:50:31.309293,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
8,DC:A6:32:33:B0:BC,2020-07-07 09:50:32.289890,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
9,DC:A6:32:33:B0:BC,2020-07-07 09:50:33.022939,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-16
10,DC:A6:32:33:B0:BC,2020-07-07 09:50:35.028171,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-16
11,DC:A6:32:33:B0:BC,2020-07-07 09:50:36.100037,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
12,DC:A6:32:33:B0:BC,2020-07-07 09:50:37.519500,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
13,DC:A6:32:33:B0:BC,2020-07-07 09:50:38.609501,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
14,DC:A6:32:33:B0:BC,2020-07-07 09:50:39.700761,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
15,DC:A6:32:33:B0:BC,2020-07-07 09:50:40.106385,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-22
16,DC:A6:32:33:B0:BC,2020-07-07 09:50:41.033338,ca5e60b2-c058-11ea-85b3-dca63233b0bb,1,1,1,-28
